	Lon	Lat	Datetime	Year	Month	Day	Hour	Minute	Second	SST_C	windspeed	wind_moment2	air_pressure	salinity	xCO2air	fCO2
35	-5.03458487	50.14076867	2013-09-03 12:16:03	2013	9	3	20	8	24	16.24383228221063	9.368347003	87.76592556	1018.276703	29.98562562	411.999701	398.2945309
36	-5.034687839	50.1416758	2013-09-03 12:19:42	2013	9	3	20	13	18	16.49153503262984	9.66938086	93.49692621	1015.316431	30.0283202	411.9993421	397.618542
37	-5.034775592	50.14259815	2013-09-03 12:21:28	2013	9	3	20	17	35	16.120871272051833	9.928062601	98.56642701	1020.810943	29.983366	412.0004467	398.0701611
38	-5.034848997	50.14353484	2013-09-03 12:22:48	2013	9	3	20	41	22	16.006614091252874	10.04019915	100.805599	1017.262831	29.99594363	411.9992135	399.9253502
39	-5.034908977	50.14448496	2013-09-03 12:25:48	2013	9	3	21	4	53	18.121960887126175	10.37100814	107.5578098	1017.900399	30.00275301	411.9988309	400.0036778
40	-5.034956511	50.14544753	2013-09-03 12:29:29	2013	9	3	21	23	16	17.424423616704058	9.903594412	98.08118228	1019.764403	30.01561816	412.0000475	398.0349645
41	-5.034992629	50.14642151	2013-09-03 12:36:40	2013	9	3	21	41	55	16.99995979053897	9.716128169	94.40314661	1019.9116	29.99802277	412.0011661	397.9313775
42	-5.035018405	50.14740584	2013-09-03 12:38:26	2013	9	3	21	57	40	16.23810013194599	10.05167447	101.0361597	1020.56008	29.99652864	411.9999273	396.8347842
43	-5.035034956	50.14839939	2013-09-03 12:43:16	2013	9	3	21	59	20	16.079027403955003	9.507849725	90.3992064	1017.97097	29.9991105	412.0003444	397.8942241
44	-5.035043434	50.14940101	2013-09-03 12:51:31	2013	9	3	22	6	24	17.597635063633334	9.988067218	99.76148676	1017.802822	29.99877923	411.9989744	395.8201576
45	-5.035045026	50.15040952	2013-09-03 12:53:42	2013	9	3	22	28	57	15.528410988677528	9.813270473	96.30027738	1015.80838	29.99883172	411.9998172	401.8993244
46	-5.035040947	50.1514237	2013-09-03 12:56:33	2013	9	3	22	48	53	16.76055569825045	10.30267064	106.1450224	1020.118474	29.99696343	412.0001994	399.8769558
47	-5.035032431	50.15244232	2013-09-03 12:57:32	2013	9	3	23	7	23	16.153804394805285	10.5951316	112.2568136	1019.480793	30.00770705	411.9994167	399.5423299
48	-5.035020735	50.15346411	2013-09-03 13:00:58	2013	9	3	23	9	20	16.089721353811274	9.096967807	82.75482329	1018.47163	30.00058219	412.0002977	400.0909384
49	-5.035007125	50.15448782	2013-09-03 13:02:56	2013	9	3	23	21	13	15.72053731382252	9.867466302	97.36689123	1020.148093	30.00768801	411.999587	400.0739961
50	-5.034992875	50.15551218	2013-09-03 13:07:58	2013	9	3	23	35	22	16.139411808909415	10.22683108	104.5880739	1020.259099	29.99844929	411.998376	397.3711158
51	-5.034979265	50.15653589	2013-09-03 13:13:40	2013	9	3	23	36	32	15.507036244261627	10.5701758	111.7286165	1018.486963	29.98595178	412.0008473	397.5647429
52	-5.034967569	50.15755768	2013-09-03 13:17:50	2013	9	4	0	4	34	15.099969275101184	10.89282167	118.6535639	1019.002883	30.00058981	411.9990185	397.7582565
53	-5.034959053	50.1585763	2013-09-03 13:25:34	2013	9	4	0	20	36	15.726240810356765	9.507202659	90.38690239	1021.876272	29.99751228	411.999325	399.1230004
54	-5.034954974	50.15959048	2013-09-03 13:33:40	2013	9	4	0	43	41	16.99815563431977	9.143368936	83.60119549	1024.153175	30.01153089	411.9988989	397.7931578
55	-5.034956566	50.16059899	2013-09-03 13:41:43	2013	9	4	1	3	44	16.832574288755307	10.09276446	101.8638944	1020.790391	30.00451989	412.0003319	395.7678061
56	-5.034965044	50.16160061	2013-09-03 13:43:25	2013	9	4	1	27	16	15.779813268592331	10.1493679	103.0096689	1021.418501	30.00781634	411.9995688	395.4261082
57	-5.034981595	50.16259416	2013-09-03 13:50:55	2013	9	4	1	37	57	15.784485743638934	10.73253412	115.1872885	1020.732549	30.0045016	411.9993321	396.327296
58	-5.035007371	50.16357849	2013-09-03 13:56:03	2013	9	4	2	7	35	15.85416369848881	9.379762799	87.97995017	1016.646851	29.99913645	412.0002405	397.3452659
59	-5.035043489	50.16455247	2013-09-03 14:01:29	2013	9	4	2	35	46	15.725916319778067	10.58068773	111.9509529	1020.553821	30.00603338	412.0007921	397.5155304
60	-5.035091023	50.16551504	2013-09-03 14:09:16	2013	9	4	2	36	47	16.114983922935576	9.605978007	92.27481347	1017.537072	30.00517056	412.0011393	397.9721893
61	-5.035151003	50.16646516	2013-09-03 14:16:49	2013	9	4	3	5	58	15.50339106682439	10.66637823	113.7716246	1020.120091	30.01056955	412.0002435	399.2109423
62	-5.035224408	50.16740185	2013-09-03 14:21:09	2013	9	4	3	30	7	14.853752986736849	10.73348901	115.2077864	1017.233483	30.00376029	411.9996807	394.9211126
63	-5.035312161	50.1683242	2013-09-03 14:25:36	2013	9	4	3	32	49	16.187639799398468	10.00762425	100.1525431	1017.29186	30.01160005	412.0001053	396.6400943
64	-5.03541513	50.16923133	2013-09-03 14:28:42	2013	9	4	4	1	15	17.056360120037365	10.76365265	115.8562184	1018.762643	30.00060479	411.9985172	398.6772977
65	-5.03553412	50.17012245	2013-09-03 14:35:03	2013	9	4	4	15	42	15.60391927061408	9.287428849	86.25633462	1016.460617	29.99670938	412.0003198	395.942523
66	-5.035669873	50.17099679	2013-09-03 14:39:12	2013	9	4	4	36	2	16.923211109653124	9.756407241	95.18748226	1019.416881	30.00177334	411.9997803	399.3123302
67	-5.035823061	50.17185371	2013-09-03 14:45:37	2013	9	4	5	3	6	15.7126173607727	9.900621466	98.02230542	1019.939127	29.98595696	411.9995139	396.953921
68	-5.035994289	50.17269258	2013-09-03 14:50:53	2013	9	4	5	7	44	16.63737422623424	9.891160583	97.83505769	1015.672252	30.02370881	412.0002185	397.5572383
69	-5.036184087	50.17351288	2013-09-03 14:56:13	2013	9	4	5	24	13	15.27837919108747	10.07419075	101.4893192	1017.244222	29.99203841	412.0010015	398.8340972
70	-5.03639291	50.17431416	2013-09-03 15:02:52	2013	9	4	5	36	26	15.198256131745024	9.089776058	82.62402878	1018.26231	29.98378387	412.0009382	395.8636012
71	-5.036621139	50.17509603	2013-09-03 15:09:10	2013	9	4	5	58	35	15.703142709891164	10.40163144	108.1939367	1017.082245	29.99203849	412.0011859	397.9493445
72	-5.036869075	50.1758582	2013-09-03 15:13:05	2013	9	4	6	2	29	15.286837541956476	10.18725417	103.7801475	1019.351836	29.99691041	411.999589	396.5917638
73	-5.037136938	50.17660044	2013-09-03 15:14:32	2013	9	4	6	13	2	15.135369310073836	10.34158048	106.9482869	1017.680504	29.98920503	412.0002895	395.5044969
74	-5.037424872	50.1773226	2013-09-03 15:16:50	2013	9	4	6	41	47	16.244486229589228	9.125075624	83.26700515	1019.04838	30.00337426	412.0008656	394.8384002
75	-5.037732936	50.17802464	2013-09-03 15:19:09	2013	9	4	6	57	21	15.915059701337993	9.816195777	96.35769953	1022.290241	29.98796229	411.9998612	398.863312
76	-5.038061111	50.17870657	2013-09-03 15:19:54	2013	9	4	7	22	42	16.222675567170704	9.913335827	98.27422721	1021.269969	29.99317915	412.0021697	397.495878
77	-5.038409295	50.17936848	2013-09-03 15:22:33	2013	9	4	7	32	3	15.842938814925898	10.0311335	100.6236392	1021.35754	29.99940977	412.0000091	397.4522935
78	-5.038777306	50.18001057	2013-09-03 15:23:35	2013	9	4	7	58	5	16.94270588180915	9.908530295	98.17897262	1017.878197	30.00383622	412.0000834	397.5735126
79	-5.039164883	50.1806331	2013-09-03 15:26:03	2013	9	4	8	26	47	15.699829608066347	9.625943033	92.65877928	1021.453466	30.00374522	412.0000324	396.8829721
80	-5.039571685	50.1812364	2013-09-03 15:28:18	2013	9	4	8	41	49	16.256142230731992	10.43917735	108.9764237	1017.451775	30.01302456	411.9991599	396.2154679
81	-5.039997295	50.18182089	2013-09-03 15:36:28	2013	9	4	9	10	49	15.66119693388741	10.02810879	100.5629659	1016.725486	29.99734142	412.0007926	397.7786065
82	-5.040441218	50.18238706	2013-09-03 15:44:45	2013	9	4	9	30	46	17.46881468722913	9.41768413	88.69277438	1016.925885	29.98162126	412.0003851	396.9279258
83	-5.040902888	50.1829355	2013-09-03 15:49:11	2013	9	4	9	56	38	15.98619659944002	9.418938631	88.71640494	1021.147203	30.00652555	412.0000373	398.3714906
84	-5.041381666	50.18346682	2013-09-03 15:54:00	2013	9	4	10	1	2	15.765602314550112	9.503598414	90.31838282	1017.74933	30.01131059	411.9993433	398.7719786
85	-5.041876843	50.18398174	2013-09-03 15:56:25	2013	9	4	10	17	44	15.826956641022365	10.16911784	103.4109577	1020.968239	29.9894748	412.0004221	396.0183995
86	-5.042387648	50.18448104	2013-09-03 16:01:50	2013	9	4	10	24	2	16.13321268410908	10.1338357	102.694626	1021.006865	30.00184676	412.0013468	394.2823245
87	-5.042913241	50.18496555	2013-09-03 16:04:32	2013	9	4	10	42	11	16.879977870449416	9.303956421	86.56360508	1019.719615	29.99653266	411.9995494	394.1481359
88	-5.043452729	50.18543616	2013-09-03 16:05:21	2013	9	4	10	58	32	15.98944380663339	9.521560503	90.66011442	1018.543527	29.99133883	412.0000614	394.5681446
89	-5.044005157	50.18589383	2013-09-03 16:13:17	2013	9	4	11	15	50	15.500477797123695	9.28826155	86.27180262	1021.887443	29.99514663	412.0012579	397.5620577
90	-5.044569523	50.18633957	2013-09-03 16:19:43	2013	9	4	11	21	33	17.081646944149924	9.602104496	92.20041075	1019.065495	30.01699812	412.0001392	396.9252052
91	-5.045144774	50.18677442	2013-09-03 16:27:30	2013	9	4	11	48	6	15.948594072742296	9.329755603	87.04433962	1020.112028	30.00345956	411.9993253	400.0413174
92	-5.045729813	50.18719948	2013-09-03 16:32:39	2013	9	4	12	1	2	15.261732416088208	10.33034835	106.716097	1017.516092	29.9889723	411.9995794	397.9386526
93	-5.046323506	50.18761589	2013-09-03 16:34:36	2013	9	4	12	27	24	15.584131494796674	9.331637773	87.07946353	1021.651399	29.99988249	412.0018446	399.0315073
94	-5.046924681	50.18802481	2013-09-03 16:36:42	2013	9	4	12	39	19	14.71535691147557	9.609462378	92.3417672	1018.312073	29.99543331	412.0011005	397.9276738
95	-5.047532139	50.18842746	2013-09-03 16:38:44	2013	9	4	12	50	0	15.84625489831555	9.178420908	84.24341037	1019.833234	29.99685614	412.0005994	399.3799093
96	-5.048144653	50.18882504	2013-09-03 16:40:22	2013	9	4	13	8	29	17.47247988072264	8.961261446	80.30420671	1021.307251	29.9980306	411.9993236	397.7140198
97	-5.048760977	50.18921882	2013-09-03 16:45:08	2013	9	4	13	23	43	15.617977269668895	10.13238121	102.665149	1018.294716	29.99961147	411.9995561	399.2809515
98	-5.04937985	50.18961005	2013-09-03 16:46:30	2013	9	4	13	28	37	16.843589188479967	10.93255546	119.5207689	1017.218693	30.01325787	411.9995377	395.5839508
99	-5.05	50.19	2013-09-03 16:50:08	2013	9	4	13	44	22	14.043982966845405	9.702900025	94.14626889	1018.747946	30.00430453	411.9993615	397.2447368
